,FP,Tweet
25,positive,recently donated $10000 to the Aspire Foundation! The money will be used to purchase a new lift van! Thâ€
26,positive,Got my kozy galaxy scarf from #kohls ! great stocking stuffers!! Thank you Kohls! #GiveKohlsCozy #GiveJoyGetJoyâ€
27,positive,For #Kohls #clearance in just one click check out the awesome #Deals
28,neutral,Cuisinart Air Fryer Toaster Oven Combo $118.99 Shipped $20 Kohl's Cash #kohls
29,neutral,KitchenAid 5-Quart Artisan Stand Mixer $178.49 Shipped $30 Kohl's Cash #kohls
30,positive,Pinned to The Best of Honest &amp Truly Blog Posts on How to make Amazon returns at Kohls to get a 25 Koâ€
31,positive,Out shopping this weekend and love the #Selfie moose ðŸ˜ #Kohls #KCMO
32,positive,I have #Kohls cash free mvc shipping
33,positive,How to you REWARD youâ€™re LOYAL Customers?
34,positive,The best gifts come from #Kohls â�¤ï¸
35,positive,Check out Christmas Gift St Nicholas Square Warm Wishes Set Of 4 Spreaders Kohls Snowman #Kohls via
36,neutral,I Canâ€™t Even #kohls #ðŸ™
37,positive,So good I had to share Check out all the items I'm loving on #poshmark #fashion #style #shopmyclosetâ€
38,neutral,going to do the try to sleep thing #sleep will go to #kohls tomorrow and tae back this metal detector that doesn't work ..#GodBless
39,neutral,Hmm...was looking at a Kohlâ€™s catalog and saw this guy...is it or his #doppelganger ? ðŸ¤ #colinjostâ€
40,positive,our outfits accidentally matched so we took some pics for the latest #kohls catalogue
41,positive,I just noticed we play this wild life in the store #kohls
42,neutral,Hudson #FloridaMan comes to #Kohls store for job interview steals shoes on way out
43,positive,Life's short eat dessert first.
44,neutral,#Florida man arrested for shoplifting at #Kohls after job interview.. his interview at #macys has been delayed 6 mâ€
45,neutral,#Florida man arrested for shoplifting at #Kohls after job interview.. did he add brand loyalty to his resume
46,positive,Looking at my kohlâ€™s Christmas catalog and it appears an SNL cast has a side job lol..could have sworn at first looâ€
47,positive,I found this in an old email draft #volunteering #kohls
48,neutral,â€
49,positive,Wellness should be accessible to everyone #Kohls is bringing today's top #wellness tools to the masses all in oneâ€
50,neutral,I'm beyond furious I ordered sweaters online and picked up in store After 1 hour of fighting traffic I got homeâ€
51,positive,#Kohls Got what I needed and didn't have to spent a lot for it Thanks for Kohl's cash
52,neutral,Following up to see if #kohls has ever come through....
53,positive,Steer clear of #Kohls as they are severely lacking in Customer Service and Satisfaction in comparison to Amazon orâ€
54,positive,. has all the helpful tips to making gift-giving special this holiday season #Kohls #ad
55,positive,FREE PICTURE with Santa at particpating Kohl's store TODAY!!
56,positive,Thank you for this incredible hoodie that I am able to keep warm at work #KohlsCozyCashâ€
57,positive,Awee no way Did not know that...Respect to the retail King ðŸ‘‘ Thanks #KohlsCash #Kohls
58,positive,Went to Kohlâ€™s and they gave me this FREE awesome ornament.. you should totally go and get one ðŸ˜ #humorâ€
59,positive,Kohl's Big Sale Free Kohl's Cash 30 off &amp Free Shipping for Cardholders #kohls
60,neutral,Hey.. #Kohls store in Hiram GA.. these (below are NOT shopping carts.. they are laundry hampers with kiddie seaâ€
61,positive,Had make an exchange at for a defective button on new jeans I had no receipt and was concerned This was hoâ€
62,positive,Should out to for your outstanding customer service Handled a damaged order replacement call in 5 minutes fâ€
63,neutral,#kohls #givejoygetjoy influenster
64,neutral,Titi duties with Princess Peach ðŸ¥°
65,neutral,Is it just me that thinks this reads â€œ80 Grandkidsâ€� #kohls
66,neutral,Got the option to return an item purchased on #Amazon at a #Kohls brick and mortar.
67,neutral,Check out Kohl's Character LOT Plush Stuffed Animal CLIFFORD Disney MIKE Rio Frog Pluto + #Kohls via
68,neutral,Kohlâ€™s exclusive Flocked Fwooper is back up!
69,positive,Check out 8 Kohl's WILD ANIMAL LOT Plush Stuffed Kangaroo Elephant Ape Leopard Giraffe + #Kohls via
70,neutral,Christmas Elf Earflap Beanie Ski Hat One Size #Kohls #Ski via
71,neutral,Yep our annual Christmas card was taken at #kohls #merrychristmas #siblings #autismlife #lovemykids
72,neutral,Kohlâ€™s coupons &amp promo codes Save $10 on a $50 purchase plus an extra 25 off
73,negative,Check out 8 Kohl's Character LOT Plush Stuffed Animal Little Critters Brother T Bone Moose #Kohls via
74,neutral,Check out Kohl's CLIFFORD the Big Red Dog Lot CLEO T BONE Plush Stuffed Animals Toys Set #Kohls via
75,neutral,flagged my acct as fraud I called and they can't verify my phone number I've had for 15 YEARS So I won'tâ€
76,neutral,Last Day Kohl's Friends &amp Family Sale Up to 70 off 25 off $10 off $50 #kohls
77,positive,canâ€™t provide us with a new system because they are out of stock but yet there website shows them in stock oâ€
78,neutral,#TrebleClef #ChristmasOrnament Shiny silver tone Music Note with sparkly crystal accents #christmastreeornamentsâ€
79,negative,Shipment of candles from Kohls What's wrong with this picture Really Kohls #kohls #poorcustomerservice
80,neutral,JUST TAKE MY MONEY #KOHLS !!!!! Kohl's
81,positive,So good I had to share Check out all the items I'm loving on from _ #poshmark #fashionâ€
82,neutral,Check out NEW-34PC-Christmas-Train-Set-North-Pole-Junction-Xmas-Holiday-Toy-Model-1003442 #Kohls via
83,neutral,Steal of a deal clearance at Kohlâ€™s $5.80 #purcosmetics #mylittlepony #clearancefinds #kohls
84,positive,So good I had to share Check out all the items I'm loving on from #poshmark #fashionâ€
85,neutral,â€¢CHRISTMAS MUSIC IS OFFENSIVE PART llâ€ #christmasmusic #christmas #Jesus #olittletownofbethlehemâ€
86,positive,new favorite holiday sweater #voxbox #influenster #kohls
87,neutral,chasing #kohls #kohlscash to celebrate the holidays and the popup shop at oculuswtc photo byâ€
88,negative,poses with serious Kohlâ€™s fashion during #kohls #kohlscash to celebrate the holidays and the â€
89,neutral,How To Return Amazon Purchases At Kohl's Did you know this is a thing?? #howto #amazonâ€
90,positive,and #SantaClaus give out chances to win #kohls #kohlscash to celebrate the holidays and the popupâ€
91,neutral,chasing #kohls #kohlscash to celebrate the holidays and the popup shop at oculuswtc
92,negative,Kohls on line is the worst place to ever shop !!! Do not shop online with them Shame on you Kohls #kohls
93,negative,Highly #annoyed with and their useless #offers The #Holiday25 and #25Mobile offers exclude pretty much EVERâ€
94,negative,Sorry best I could do No Uâ€™s...So I couldnâ€™t spell butt or plug Disappointed #kohls Was gonna do assâ€
95,neutral,$10 &amp Under Stocking Stuffers for Kids Up to 70 off Take an Extra 25 off #kohls
96,positive,That's a big boy right there folks #reindeer #kohls #shopping #holidays #funn
97,positive,Check out Classy SW Native Design 3-PC Faux Turquoise 18â€ Necklace/8â€ Bracelet/Earrings #Kohls via
98,negative,#Kohls have no idea how to treat a customer on phone support Worst experience ever Still not solved
99,negative,Skull Storage Cabinet Sideboard with rivets and skull and bones knobs Subtle goth look #skull #storage #cabinetâ€
100,positive,Thanks #influenster and #kohls for the FREE $10 #kohlscash Just LOVE Kohl's and needed some socks for the hubby!â€
101,neutral,Purchased a KitchenAid Mixer on November 26th Kohlâ€™s sent an email same day saying it was shipped Now when you loâ€
102,positive,I would spend my kohlâ€™s cash on clothes for my 4 year old #Kohls #KohlsCash
103,positive,love love love best denim hoodie ive ever owned and ive had PLENTY recommend to everyone true to size bought onâ€
104,neutral,Check out Cat Photo Holders St Nicholas Square Holiday Christmas Santa Gift Set of 3 Kohls #Kohls via
105,positive,Not to mention I have more rewards to use for spending over $500 last month In two weeks This is how you geâ€
106,positive,Check out Kohl's Tree Camo Soft Brushed Fleece Lounge Pants Men's Size Large #Kohls #LoungePants via
107,positive,Kohl's used to always send an anniversary coupon in the amount of how many years you've had a Kohl's charge 10 yrsâ€
108,neutral,you send me multiple emails a day but conveniently (for you don't email reminding me that my $30â€
109,neutral,Today's Consumer Sector focused chart pack.
110,negative,Iâ€™m so angry! $55 of kohlâ€™s cash to use and they give you one week to use it Went to spend more there today onlyâ€
111,negative,Not maternity section Not summer #Whatisgoingon #confused #kohls
112,positive,Belle Maison Holiday Gift Mugs Over 20 Styles $5.24-$7.74 Free S&amp;H on $25 #kohls
113,positive,"Great article about being the ""turnaround of the year. - Why New partnerships has driven shoppers to storâ€"
114,neutral,highest level of customer service my ass! ðŸ˜ ðŸ˜¡ðŸ˜
115,negative,Check out Kohls DR SEUSS Plush Lot SNEETCHES Alligator Cat Horton GREEN BIRD Monkey + #Kohls via
116,neutral,Check out KOHLS PLUSH LOT Eric Carle Some TAG Elmo PATCH Eeyore Dumbo Plush Stuffed Animal #Kohls via
117,positive,New York youâ€™re invited Get great gifts
118,positive,Check out Kohl's Silver Tone 3 Reindeer Candle Stick Holder Taper Large Antlers #Kohls via
119,negative,As long as you use the media to keep your brand A-List which pushes your merchandise perfumes and câ€
120,neutral,Never ordering from â€ website again Never been so stressed ordering things from a site.
121,positive,I made out like a bandit at #kohls this evening 3 blouses (1 candies top &amp 2 pair of shorts for $4.27! ðŸ‘ how youâ€
122,positive,Iâ€™ve lost weight so none of my jeans fit good.I went from a 17 to 13 in juniors ðŸ™ŒðŸ�»
123,positive,YASSSSS I got my #GiveJoyGetJoy from #Kohls love my Authentic American Heritage socks #GiveKohlsCozy #KohlsCash
124,positive,_fox9 Apparently one must be a driver to shop at #Kohls
125,negative,Casual yet Chic #holidayoutfitidea turtleneck Apt9 blazer Jean's all fr #kohls Affordaâ€
126,negative,Come on I ordered my luggage received the wrong item
127,neutral,#kohls quote of the day...
128,negative,#kohls online pickup ridiculous
129,positive,Yeah buddy Just used my free Kohl's cash from for what little cuddly and warm Christmas presents I caâ€
130,neutral,I left a #Kohls store.
131,negative,Ridiculous As much money as I spend in ðŸ™„ðŸ™„ðŸ™„ðŸ™ #kohls they had the nerve to mail shoes with security tags on iâ€
132,neutral,#kohls will not accept my passport!!! only a Driver's licences Do you know what it takes to get a passporâ€
133,positive,The gifts from the #Kohls Holiday Pop-Up are all we want to shop right now
134,neutral,$10 and Under Gift Ideas Up to 80 off an Extra 25 off Earn Kohl's Cash #kohls
135,negative,#Kohls sucks They couldn't track my order On Friday a supervisor PROMISED PROMISED
136,neutral,Going to be in NYC December 6th and 7th Visit #GiveJoyShop and step into our larger-than-life snow globe foâ€
137,neutral,That is how I got my wife In 1985 I signed her to a 70 year300
138,positive,Thanks for ruining my morning with your â€œglitchâ€ charges Itâ€™s been a fun 2 weeks placing an order with you.â€
139,positive,I am loving my new foil eyes pallete merry christmas to me!â�¤ðŸŽ�ðŸŽ thank you and
140,positive,is no winner to me It removed items from my cart at checkout saying they were no longer available I liteâ€
141,negative,#Kohls your Kohlâ€™ customer service is terrible Please invest in the call back feature whenâ€
142,neutral,Check out Mother-of-Pearl &amp Crystal Silver-Plated Necklace &amp Drop Earring Set #Kohls via
143,neutral,I snagged some #verawang sheets on #blackfriday for $50 at #kohls and I'm #inlove #spoiled #heaven #holidays
144,neutral,How to use #Kohls coupons 6 hacks to know before you shop ðŸ›
145,positive,Snap a #free #picture with #Santa this #weekend at #KOHLS ðŸŽ…ðŸŽ„
146,positive,Score for the perfect gift for my dino loving kiddo #kohls #influenster #kohlscash
147,positive,Lovin my new warm fuzzy slippers Hugs to #Influenster &amp #Kohls for my gift!
148,positive,love this Noel ladder #kohls #givejoy
149,neutral,part of me order was cancelled despite the item still being in stock on the website This order was becauseâ€
150,negative,A little gift to myself this Christmas from using my KohlsCash from Adidas is my all time favoâ€
151,neutral,On days I donâ€™t have to wear blazers ; #kohls #lovemesomesweaters #hellowinter
152,neutral,Thank you #Influenster I revived these free to review through their #KohlsCash virtual voxbox one was broken andâ€
153,neutral,The Big One solid bath towels under $3 at Kohl's #Kohls #deals
154,neutral,Check out 9 KOHLS Plush CHARACTER Lot Blue PARROT Octopus SNOOPY Woodstock Elephant Toys #Kohls via
155,negative,Huggle Hoodie As Low As $10.24 At Kohl's (Usually $49.99! #kohls
156,positive,Thank you influenster got comfy underwear saved 36.00 #kohls #got it free #influenster
157,positive,50 off St Nicholas Square Trim-A-Tree Holiday Decor &amp More Extra 25 off #kohls
158,neutral,Check out 9 KOHLS ANIMAL Plush Lot KANGAROO Chameleon Salina Yoon BEAR with TAG Moose + #Kohls via
159,neutral,Kohlâ€™s Cuddl Duds Throw Blankets Only $15.93 (reg $50 â€ Today Only #kohls #kohlsdeals
160,neutral,Check out Kohls DISNEY Plush CHARACTER Lot PLATYPUS Dumbo Eeyore PLUTO Patch Dalmatian Toy #Kohls via
161,negative,Check out 9 KOHLS Plush CHARACTER Lot MADELINE Bumble Bee Curious George BOYNTON Dog + #Kohls via
162,neutral,Check out 10 KOHLS Plush CHARACTER LOT Snoopy Mouse COrduroy Teddy Mouse Moose Blue Bird #Kohls via
163,neutral,Check out KOHLS Plush Lot ERIC CARLE Brown Bear MOOSE Disney PLATYPUS Lion Stuffed Animals #Kohls via
164,positive,Always in the mood for denim Hope you are having and amazing day #fashion #styleblogger #lotd #snakeskinâ€
165,neutral,WEAR IT NOW Silvertone Stylized Snowman Earrings-Hook Attachment #Kohls #DropEarrings #dangleearrings #snowmanâ€
166,positive,Happiness is finding the Kohlâ€™s in Newark Delaware along the Pulaski Highway (40) #ilovekohls #kohls #kohls ðŸ’—ðŸ’—ðŸ’
167,neutral,NO CELL PHONE Zone at your business for Employees #CustomerService #Walmart #kohlsâ€
168,positive,Will be posting all interactions on ALL my social media to bring attention to this matter with them pâ€
169,neutral,â€˜Women of NASAâ€ LEGO set (found Kohlâ€™s) #LEGO #WomenOfNASA #NancyGraceRoman #MargaretHamilton #SallyRideâ€
170,positive,New bedding always makes me happy #throwpillows #quilt #purple #floral #kohls
171,neutral,You give #KOHLS your email for #DISCOUNTS &amp #KOHLSCASH Will YOU Give Me YOURS?
172,neutral,Keep a watchful eye out on your money card was used at #Walgreens two days ago and fraudulent charges appeared tâ€
173,neutral,Watching this #Kohls town hall meeting like why don't y'all pay your employees to you know
174,positive,9 Ways to Save More at Kohl's this Holiday Season.
175,neutral,upset ordered item
176,neutral,On set with my baby... #childmodel #minimodel #kohls #kidsfashion #stylishkids #fashion
177,negative,So unhappy with #Kohls..longest shipping ever Beware if you are ordering and expect delivery on time!
178,negative,Had a very bad experience with #Kohls online ordering Location was set automatically and wanted me to pickup my order 45 minutes away!
179,neutral,Hey 1 something on my order was canceled and it took a day for you to notify me (I happened to log in to câ€
180,neutral,So any progress on your shopping dilemma concerning Kohls?
181,neutral,Thanking EVERY Customers you do business with is what separates YOU from the COMPETITION
182,positive,I am just loving my new sheets!!!!
183,positive,Good morning world I teamed up with to give you guys some great tips for your day to day life Happy holidaâ€
184,neutral,Menâ€™s Urban Pipeline Relaxed Bootcut Jeans Only $6.36 (reg $36) #kohls #kohlsdeals
185,neutral,Kohl's Flash Sale 25 off Extra 15 off Clothing &amp Shoes Until 1pm EST #kohls
186,neutral,2-pc Maya Chaise &amp Ottoman Set Tufted velvet luxury A glamorous lounge space for home or office #chaise #loungeâ€
187,neutral,Jeez seems a lot of people are complaining about your company this holiday season #Christmas #kohls #online
188,positive,Looking for a new #StarWars shirt #Kohls has you covered with this #DeathStar long sleeve t-shirt #HappyPlace
189,neutral,Kohl's 3-Day Doorbuster Sale Up to 83 off Extra 25 off Earn Kohl's Cash #kohls
190,neutral,Went #ChristmasShopping at #Kohls today and took a #selfie with the giant moose plushie ðŸ˜‚ðŸ¤ªâ™¥ï¸�ðŸŽ #Sunday #Adventuresâ€
191,neutral,Thank you for the gift cards from the #BlackFridaySweepstakes Your merchandise rocks
192,positive,Iain having fun at #Kohls
193,neutral,#kohls #jacksonMi oy Is anyone even trained in the store? Have never seen such lines No wonder brick and mortaâ€
194,positive,Thanks to my Black Friday shopping for the kids mommy got some new shirts jewelry and make up brushes with myâ€
195,neutral,â€˜tis the season #LifeAtKohls #kohls
196,positive,On hold yet AGAIN And still nothing is accomplished ðŸ™ itâ€™s too close to Christmas for this to keep happening Lessâ€
197,neutral,What's up its been 6 hours I sent a DM And still no reply Getting screwed on my refund and no suppâ€
198,neutral,#Santa is at #kohls
199,neutral,#Kohls must use the same interior designer as the #WhiteHouse.
200,positive,I had excellent customer service today My rep was able to price match stuff in my cart that went up in pricâ€
201,neutral,Weekend Christmas scenes #mso #kohls #mke Milwaukee Symphony Orchestra
202,negative,Check out KOHLS ANIMAL Lot x 8 Plush Dog LION Cow PUPPY Panda KANGAROO Elephant Wolf #Kohls via
203,neutral,Check out KOHLS Plush Lot Disney PLUTO ERIC CARLE Leopard with TAG and BROWN BEAR Eeyore #Kohls via
204,negative,If I ever say â€œIâ€™m running into kohlâ€™sâ€ donâ€™t believe for one minute Iâ€™ll be out in less then 2 hours ðŸ˜ #kohlsâ€
205,negative,The line at #Kohls today afternoon was almost as bad as it was on Black Friday.
206,neutral,Cole at #Kohls
207,negative,so it is a little scary that #kohls tag generates thousands of impressions  THouuuuusands wish my booksâ€
208,positive,I got this Discovery Star Projection Alarm Clock from #Kohls It projects a dazzling array of color-changing starsâ€
209,positive,So good I had to share Check out all the items I'm loving on from _lori â€
210,positive,Dec 1 I guess we can get in the xmas spirit.. it was free Thanks #kohls Westchester
211,positive,I really miss buying your plus size clothes at #kohls â˜¹ï¸� Especially at Christmas Wâ€
212,positive,Thanks so much to #Influenster and #Kohls for the free Kohl's Cash I was able to score some much needed make-up foâ€
213,neutral,Waiting on Veronica #selfie #kohls #shopping
214,neutral,Kohlâ€™s is such and underrated place to shop #Kohls
215,positive,love my new shirt #kohls #influenster
216,positive,Disney Hooded Bath Wraps in 9 Style Choices $8.99 with Free Shipping on $25 #kohls
217,negative,Just had the #worst experience with customer support.. 45 mins on call with a transfer mid-conversation &amp tâ€
218,positive,#kohls shopping n fun
219,neutral,can I use my Kohl's cash for this #kohls #mooseselfie #mooseontheloose Kohl's
220,positive,Thank you for my #VirtualVox The $10 #KohlsCash was perfect for #GiveJoyGetJoy #GiveKohlsCozy The Mineâ€
221,neutral,Building up my #husband #points #kohls and #bathandbodyworks with the wifey.
222,positive,I recieved complementary $10 cash thanks to #KohlsCash #GiveJoyGetJoy #GiveKohlsCozy #contestâ€
223,negative,Consumers spent $6.22 billion online by the end of Black Friday an increase of 23.6 Winners #Amazon #Kohlsâ€
224,neutral,Stop on by to in Elmhurst to see SantaðŸŽ… From 1-3 December 12
225,positive,You'd think my favorite color was gray...
226,positive,"I think my favorite part of watching any Hallmark movie with a ""royal ball is checking out all the cheap ill-fittâ€"
227,positive,"Join 3 people right now at ""Kohl's Friends &amp Family Sale Up to 70 off Extra 25 off Earn Kohl's Cash FTM""â€"
228,neutral,#kohls #whenmarketinggoeswrong #umm ðŸ¤ Menomonee Falls Wisconsin
229,neutral,Ladies and gentlemen we got him #tcot #conservative #gop #maga #bush #georgebush #america #chilis #applebeesâ€
230,neutral,Kohl's Clearance Sale Up to 70 off 1000s of Items 25 off Kohl's Cash #kohls
231,neutral,WJM squad goals #LifeAtKohls #Kohls #Store1041
232,negative,#Kohls taught me 3 things today 1)The online order parking space doesn't mean your order will be brought to you 2â€
233,negative,Our favorite game this year is WTF purchased at \ud83c\udf32 
234,positive,"And factory farming?? Bitches swearrrrrr they love animals as if your own country isn\u2019t in SHAMBLES because of the farmin\u2026"""
235,neutral,"7\ Oh man.. this is just...delicious.\n\nPlease read the far-right Republican question below knowing that Jared Kushner a\u2026"""
236,negative,"2\ You can't have a private and potentially privileged conversation with the target of a federal criminal investigation i\u2026"""
237,neutral,"why was alex from target a thing"""
238,neutral,"Going to Target &gt Going to the club"""
239,neutral,"T Will you back Killing Kelly by George Galloway Just \u00a316k to reach the minimum target and 18 days to go You might pay\u2026"""
240,negative,"A close friend in response to the alternative trip to 's \""Be careful you don't want to become a target for them.\u2026"""
241,positive,"The Best Technology for Fighting Climate Change Isn't a Technology natural climate solutions can help us achieve 37 perc\u2026"""
242,neutral,While I was out getting the last pieces of my brother's Christmas gift I saw this on sale at Target It was only $\u2026 
243,negative,"T 3\ BTW with respect to Trump's bogus \""conflict\ claim(s I love this insane idea that the *target of a federal probe c\u2026"""
244,neutral,"white girls always look like they just walked out of a kohls"""
245,positive,"T And factory farming?? Bitches swearrrrrr they love animals as if your own country isn\u2019t in SHAMBLES because of the farmin\u2026"""
246,positive,"I really hope I\u2019m done babysitting before 10 so I can go to target and get a birthday present for a surprise party tomorrow oOOOF"""
247,negative,"T 2\ You can't have a private and potentially privileged conversation with the target of a federal criminal investigation i\u2026"""
248,positive,#Rudolph is back on cbs and I\u2019m not mad about it thanks 
249,positive,"T Good grief Charlie Brown Don't atheists have anything better to do than to be offended by Nativity scenes The rest of us ar\u2026"""
250,neutral,"Someone has a duck on a leash at and I have a million questions"""
251,positive,I have not This is a very interesting item and an excellent gift if anyone is looking to buy me anything...\u2026 
252,neutral,"#Kushner wooed by #Saudi prince and advisors one month after #Trump was elected NYT\n\nKushner was considered a prime target ri\u2026"""
253,positive,"Good grief Charlie Brown Don't atheists have anything better to do than to be offended by Nativity scenes The rest of us ar\u2026"""
254,negative,"Minneapolis see u tonight Target center"""
255,neutral,"T Going to Target &gt Going to the club"""
256,neutral,"\""rock chip sampling has returned up to 12 copper 2 grams per tonne gold 118g\/t silver 6 zinc 0.34 cobalt....\u2026 "
257,negative,"T Minneapolis see u tonight Target center"""
258,positive,educe the stress of whether you will make your new 2019 target \nTake action follow these four simple steps fro\u2026 
259,positive,Welp I was going to wait to buy Super Smash but I can\u2019t sit on the phone and listen to Will have this much fun any\u2026 
260,negative,People quickly made Rasul Douglas the next target for heavy criticism after a few bad performances but the good has\u2026 
261,neutral,"\u2026"""
262,neutral,Atheists target Christmas Hanukkah displays \u2013 GOPUSA 
263,positive,Like getting free stuff? Join #influenster and review all your favorite products and see what comes your way\ud83d\ude0d last\u2026 
264,neutral,I'm at in Burleson TX 
265,neutral,"Wishbook Memories\nColeco Donkey Kong Mini Arcade\n1982 Sears Wishbook\n$59.99 or $154.80 after inflation!\nI always wante\u2026"""
266,positive,Easy Kohls cash. big flip 
267,negative,"Kohls Fuck of Off fuck oh nevermind""display_text_range[737]"
268,positive,"I have been having the same issue However they don\u2019t respond to the direct messages either so it\u2019s not even helpful.""display_text_range[18136]"
269,neutral,"So was at Kohls today WHILE I was at work AND I MISSED HIM\ud83d\ude29"""
270,positive,Enter to win a $20 #giftcard in this #giveaway 
271,neutral,"i would walk into kohls just to start a fight"""
272,positive,ome shopping at Kohl\u2019s today \ud83c\udf81\ud83d\uded2 Got an amazing deal \ud83d\ude0e\ud83d\udc4d \ud83d\udc83\ud83c\udf89 I\u2019m so happy with purchase I received $10 Kohl's Cas\u2026 
273,neutral,estroyed the toilets at 
274,neutral,My kohlscash expired on the 5th! I thought i'd get an app notification but nothing  I have $150 of it C\u2026 
275,positive,"Retweet for a chance to win a $20 Kohl\u2019s e-Gift Card 1000 winners selected TODAY ONLY NO PURCH NEC Ends 11\/26\/18 50 US\/DC\u2026"""
276,positive,"_HigherEd Oh great I hope you get your stuff!""display_text_range[2359]"
277,neutral,Aaaaaand I was told for the FOURTH time a case around be created and someone would get back to me Seriously?!!\u2026 
278,positive,"_4 kohls and old navy Andrew and I got ours from Kohl\u2019s!""display_text_range[963]"
279,neutral,lugolds are locked at 1 with _Mens_Hockey after the 1st \n\ud83d\udea8 Dingmann\n\ud83c\udf4e's Cooper Kohls 
280,neutral,This was supposed to be a Christmas surprise Didn\u2019t think it wouldn\u2019t literally SAY on the outside of the s\u2026 
281,neutral,Blugolds are locked at 1 with _Mens_Hockey after the 1st \n\ud83d\udea8 Dingmann\n\ud83c\udf4e's Cooper Kohls 
282,positive,Hey you\u2019re missing a golden opportunity not marketing this as a chance to \u201cSleep with the \u05e1\u05d3\u05d9\u05df Twins\u201d 
283,neutral,ohl's Surprise Saturday Holiday Sale with Kohl's Cash and Coupons is Today 
284,positive,"Coo coo box lol it \u201csuits\u201d you it\u2019ll support your frail frame \ud83d\ude04""display_text_range[2386]"
285,positive,Super excited to go pick these up from my local I only spent .20\u00a2 on these goodies thanks to #kohlscash f\u2026 
286,neutral,"krisrudo Fancy some under stall \ud83d\udc45??""display_text_range[1743]"
287,neutral,Packed last second for my trip Forgot undershirts \ud83d\ude21\ud83d\ude21\ud83d\ude21\nI feel naked when I\u2019m not wearing them.. and the one I am\u2026 
288,neutral,"Lucas Kohls goal 12 into the second and leads Marian 2-1"""
289,positive,"\ud83e\udd16 try I snagged from thanks to and them hooking me up with a10 Kohl's cash #mommydaze420 #MMMP #Koh\u2026"""
290,positive,Give joy get joy at Kohls 
291,negative,This is literally my dad I get random texts allll the time saying \u201cAnything you want from Kohl\u2019s I got kohl\u2019s cas\u2026 
292,neutral,"krisrudo luv u 3""display_text_range[1725]"
293,positive,"I love you !!!!!\ud83d\udc95""display_text_range[2239]"
294,negative,"OO BITCH MY MOM AND I ARE IN TROUBLE WE JUST SPENT $300 AT KOHLS HAHA FUCK FUCK FUCK FUCK"""
295,neutral,Deals Vera Wang Catherine Tote $33.74 (
296,neutral,"T white girls always look like they just walked out of a kohls"""
297,positive,"Had make an exchange at for a defective button on new jeans I had no receipt and was concerned This was honestly\u2026"""
298,positive,#KohlsCash #GiveJoyGetJoy #GiveKohlsJoy #contest somebody got a new jacket thanks to the compl\u2026 
299,positive,"peaking of childhood things Christy Carlson-Romano was on a Kohls commercial I'm glad to know Ren Stevens is doing well."""
300,neutral,"Stop sending me email""display_text_range[7394]"
301,neutral,"u201cSingle looking to jingle\u201d hats comin in clutch"""
302,neutral,Blugolds have another explosive 2nd period and now lead the Sabres 3-2 \n#SimpleMath #gritty #d3hky\n\ud83d\udea8's Kohls Fr\u2026 
303,neutral,"Blugolds have another explosive 2nd period and now lead the Sabres 3-2 \n#SimpleMath #gritty #d3hky\n\ud83d\udea8's Kohls Froese\n\ud83c\udf4e's\u2026"""
